,How much,What,When,Where
0,,Koncert med Rytmisk Center.,"Mon 20 November 2017, 6 pm  - 10 pm.","Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V"
1,"(Entrance fee: 408,00 dkk - 508,00 dkk)",Five Finger Death Punch & In Flames.,"Mon 20 November 2017, 7 pm.","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
2,,Koncert med Lyngby Seniorkor.,"Mon 20 November 2017, 7 pm  - 11 pm.","Sorgenfri Kirke og SognegÃ¥rd, Hummeltoften 1, Virum"
3,(Free admission),Mestre pÃ¥ Mandage IX.,"Mon 20 November 2017, 7.30 pm.","Sankt Markus Kirke, Forchhammersvej 12A, Frederiksberg C"
4,(Entrance fee: 100 / 50 DKK),Moderne mandag - Beates klaverbog.,"Mon 20 November 2017, 7.30 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
5,(Entrance fee: 95 DKK),Gaffa Session: SÃ¸ren Huss.,"Mon 20 November 2017, 7.30 pm.","KU.BE, Dirch Passers AllÃ© 4, Frederiksberg"
6,"(Entrance fee: 325,00 DKK)",SAGA - 40th Anniversary - The Final Chapter Tour 2017 - UDSOLGT.,"Mon 20 November 2017, 8 pm.","Amager Bio, Ãresundsvej 6, Copenhagen S"
7,"(Entrance fee: 325,00 DKK)",The Kooks (uk) - Venteliste.,"Mon 20 November 2017, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
8,(Entrance fee: 80kr.),The Pagsberg Bigband.,"Mon 20 November 2017, 8 pm  - 10.30 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
9,"(Entrance fee: 225,00 DKK)",J Hus.,"Mon 20 November 2017, 9 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
