,,How much,What,When,Where,loc
0,,,What,,Where,
1,0.0,,Koncert med Rytmisk Center.,1800.0,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","[55.671907, 12.5552659]"
2,1.0,408.0,Five Finger Death Punch & In Flames.,1900.0,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S",
3,2.0,,Koncert med Lyngby Seniorkor.,1900.0,"Sorgenfri Kirke og SognegÃ¥rd, Hummeltoften 1, Virum",
4,3.0,0.0,Mestre pÃ¥ Mandage IX.,1930.0,"Sankt Markus Kirke, Forchhammersvej 12A, Frederiksberg C","[55.6798977, 12.5526499]"
5,4.0,100.0,Moderne mandag - Beates klaverbog.,1930.0,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg",
6,5.0,95.0,Gaffa Session: SÃ¸ren Huss.,1930.0,"KU.BE, Dirch Passers AllÃ© 4, Frederiksberg",
7,6.0,325.0,SAGA - 40th Anniversary - The Final Chapter Tour 2017 - UDSOLGT.,2000.0,"Amager Bio, Ãresundsvej 6, Copenhagen S",
8,7.0,325.0,The Kooks (uk) - Venteliste.,2000.0,"VEGA, Enghavevej 40, Copenhagen V","[55.6680687, 12.5444302]"
9,8.0,80.0,The Pagsberg Bigband.,2000.0,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","[55.666846, 12.5762349]"
10,9.0,225.0,J Hus.,2100.0,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V",
11,10.0,168.0,Monday Night Big Band v./ Niels JÃ¸rgen Steen.,2100.0,"Huset KBH - Stardust, RÃ¥dhusstrÃ¦de 13, 1. tv., Copenhagen K",
12,11.0,0.0,Monday Juke Joint.,2130.0,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K",
13,12.0,,Cathrine Legardh 'I mit hjertes cafe' - tonesatte digte af Ditlevsen.,1700.0,"Frederiksberg Hovedbibliotek, Falkoner Plads 3, Frederiksberg","[55.6807295, 12.5302891]"
14,13.0,0.0,DR Klub Klassisk: Stanley Kubrick og den klassiske musik.,1700.0,"Gentofte Hovedbibliotek, Ahlmanns AllÃ© 6, Hellerup",
15,14.0,0.0,I mit hjertes cafe - Koncert med tonesatte digte af Tove Ditlevsen.,1700.0,"Frederiksberg Hovedbibliotek, Falkoner Plads 3, Frederiksberg","[55.6807295, 12.5302891]"
16,15.0,50.0,Concert d'amour.,1930.0,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg",
17,16.0,,Koncert med Jesper RenÃ©.,1930.0,"Timotheuskirken, Christen Bergs AllÃ© 5, Valby",
18,17.0,100.0,Spillemandsdansen spiller op til folkedans pÃ¥ Lindegaarden.,1930.0,"Kulturstedet Lindegaarden, Peter Lunds Vej 8, Kongens Lyngby","[55.776205, 12.5050708]"
19,18.0,180.0,Public Service Broadcasting.,2000.0,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V",
20,19.0,295.0,TakÃ¡cs Strygekvartetten.,2000.0,"Mogens Dahl Koncertsal, Snorresgade 22, Copenhagen S","[55.663601, 12.576502]"
21,0.0,,Omar Souleyman (sy).,2100.0,"VEGA, Enghavevej 40, Copenhagen V","[55.6680687, 12.5444302]"
22,1.0,135.0,Per Christian Frost & Band.,2100.0,"EllegÃ¥rden, Stavnsholtvej 168, Farum",
23,2.0,170.0,Koncert m. Hjalmer.,2100.0,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","[55.65525909999999, 12.2956019]"
24,3.0,195.0,Dansefest: Bobo Moreno & The Heat Monkeys.,2100.0,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","[55.666846, 12.5762349]"
25,4.0,90.0,The KutiMangoes // Vinterjazz 2018.,2100.0,"Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV","[55.6467245, 12.5300743]"
26,5.0,165.0,Marvelous Mosell.,2100.0,"Templet, Jernbanevej 16, Kongens Lyngby","[55.7700496, 12.4996326]"
27,6.0,0.0,OrgelmatinÃ©.,0.0,"Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K",
28,7.0,50.0,HÃ¸reforeningen BrÃ¸ndby Lokalafdeling.Ã¥rsmÃ¸de med underholdning To mand frem.,,"Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby",
29,8.0,490.0,Sinne Eeg.,30.0,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","[55.7589175, 12.5968742]"
30,9.0,100.0,"JÃ¸rgensen, Banks, Backhausen.",1430.0,"Jazzcup, Gothersgade 107, Copenhagen K","[55.68379270000001, 12.5762312]"
31,10.0,0.0,Tre gange Dreisig med gÃ¦st.,1500.0,"Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K",
32,11.0,70.0,Vand-Disco.,1900.0,"Frederiksberg SvÃ¸mmehal, Helgesvej 29, Frederiksberg",
33,12.0,120.0,Norbert SusemihlÂ´s Joyful Gumbo med gÃ¦ster fra New Orleans.,2000.0,"Baghuset, Sct. Jacobsvej 1, Ballerup","[55.73196, 12.3625764]"
